curve,tenor_years,risk_factor,portfolio_sensitivity_usd,USGG5YR_sensitivity_usd,USSO2_sensitivity_usd,USISSO10_sensitivity_usd,EUSA5_sensitivity_usd,portfolio_sensitivity_native,fx_rate,scaling_factor,basel_sensitivity,rw_base,rw_adjusted,weighted_sensitivity
USD_Treasury,0.25,USD_Treasury_0.25Y,-27.8356055021286,-27.8356055021286,0.0,0.0,0.0,-27.8356055021286,1.0,10000,-278356.055021286,0.017,0.012020815280171309,-3346.0667195280803
USD_Treasury,0.5,USD_Treasury_0.5Y,46.63171362876892,46.6317136362195,0.0,0.0,0.0,46.63171362876892,1.0,10000,466317.1362876892,0.017,0.012020815280171309,5605.512157292781
USD_Treasury,1.0,USD_Treasury_1Y,-219.42290285229683,-219.42290285229683,0.0,0.0,0.0,-219.42290285229683,1.0,10000,-2194229.0285229683,0.016,0.01131370849898476,-24824.86760871938
USD_Treasury,2.0,USD_Treasury_2Y,-60.13489328324795,-60.13489327579737,0.0,0.0,0.0,-60.13489328324795,1.0,10000,-601348.9328324795,0.013,0.009192388155425116,-5527.832807446818
USD_Treasury,3.0,USD_Treasury_3Y,-890.461011365056,-890.4610113576055,0.0,0.0,0.0,-890.461011365056,1.0,10000,-8904610.11365056,0.012,0.00848528137423857,-75558.12234221549
USD_Treasury,5.0,USD_Treasury_5Y,-17287.91896060109,-17287.91896059364,0.0,0.0,0.0,-17287.91896060109,1.0,10000,-172879189.6060109,0.011,0.007778174593052022,-1344684.5202608972
USD_Treasury,10.0,USD_Treasury_10Y,17.810734018683434,17.810734018683434,0.0,0.0,0.0,17.810734018683434,1.0,10000,178107.34018683434,0.011,0.007778174593052022,1385.3499882773083
USD_Treasury,15.0,USD_Treasury_15Y,-4.646249949932098,-4.646249942481518,0.0,0.0,0.0,-4.646249949932098,1.0,10000,-46462.499499320984,0.011,0.007778174593052022,-361.3934331353108
USD_Treasury,20.0,USD_Treasury_20Y,0.9679702073335648,0.9679702147841454,0.0,0.0,0.0,0.9679702073335648,1.0,10000,9679.702073335648,0.011,0.007778174593052022,75.29041273513232
USD_Treasury,30.0,USD_Treasury_30Y,-0.0645313411951065,-0.0645313337445259,0.0,0.0,0.0,-0.0645313411951065,1.0,10000,-645.3134119510651,0.011,0.007778174593052022,-5.019360385393488
USD_SOFR,0.25,USD_SOFR_0.25Y,-75.12329056859016,0.0,-21.21436456171796,-53.90892599523068,0.0,-75.12329056859016,1.0,10000,-751232.9056859016,0.017,0.012020815280171309,-9030.431991636578
USD_SOFR,0.5,USD_SOFR_0.5Y,221.31816095113757,0.0,13.377935152500868,207.94022580981252,0.0,221.31816095113757,1.0,10000,2213181.609511376,0.017,0.012020815280171309,26604.247309408478
USD_SOFR,1.0,USD_SOFR_1Y,-375.4332760125399,0.0,-217.7338615064509,-157.69941450469196,0.0,-375.4332760125399,1.0,10000,-3754332.760125399,0.016,0.01131370849898476,-42475.42645624764
USD_SOFR,2.0,USD_SOFR_2Y,-10279.573970615864,0.0,-11489.205150270369,1209.631179664284,0.0,-10279.573970615864,1.0,10000,-102795739.70615864,0.013,0.009192388155425116,-944938.340103056
USD_SOFR,3.0,USD_SOFR_3Y,-1071.3957778960466,0.0,12.830943701788785,-1084.226721584797,0.0,-1071.3957778960466,1.0,10000,-10713957.778960466,0.012,0.00848528137423857,-90910.94638619167
USD_SOFR,5.0,USD_SOFR_5Y,4560.810784645379,0.0,-1.093530271667987,4561.904314924032,0.0,4560.810784645379,1.0,10000,45608107.846453786,0.011,0.007778174593052022,354747.8256884634
USD_SOFR,10.0,USD_SOFR_10Y,37740.85566994548,0.0,0.0895459242165088,37740.76612402871,0.0,37740.85566994548,1.0,10000,377408556.6994548,0.011,0.007778174593052022,2935549.646920133
USD_SOFR,15.0,USD_SOFR_15Y,-390.0021463483572,0.0,-0.0233598048798739,-389.978786541149,0.0,-390.0021463483572,1.0,10000,-3900021.463483572,0.011,0.007778174593052022,-30335.047859625483
USD_SOFR,20.0,USD_SOFR_20Y,81.24659638106823,0.0,0.0048666261136531,81.24172976054251,0.0,81.24659638106823,1.0,10000,812465.9638106823,0.011,0.007778174593052022,6319.502117431773
USD_SOFR,30.0,USD_SOFR_30Y,-5.416486971080303,0.0,-0.000324442051351,-5.416162524372339,0.0,-5.416486971080303,1.0,10000,-54164.86971080303,0.011,0.007778174593052022,-421.3038134205412
EUR_Swap,0.25,EUR_Swap_0.25Y,-9.033373932838439,0.0,0.0,0.0,-7.841470425482839,-7.841470427811146,1.152,10000,-90333.73932838438,0.017,0.012020815280171309,-1085.885194033655
EUR_Swap,0.5,EUR_Swap_0.5Y,27.100772910118103,0.0,0.0,0.0,23.524976486340165,23.52497648447752,1.152,10000,271007.72910118103,0.017,0.012020815280171309,3257.733851024004
EUR_Swap,1.0,EUR_Swap_1Y,-124.29920673179626,0.0,0.0,0.0,-107.89861695468426,-107.89861695468426,1.152,10000,-1242992.0673179626,0.016,0.01131370849898476,-14062.84991618587
EUR_Swap,2.0,EUR_Swap_2Y,-41.59214257907867,0.0,0.0,0.0,-36.10429043509066,-36.104290433228016,1.152,10000,-415921.4257907867,0.013,0.009192388155425116,-3823.3111880267543
EUR_Swap,3.0,EUR_Swap_3Y,-491.22362114524844,0.0,0.0,0.0,-426.40939335757867,-426.4093933552504,1.152,10000,-4912236.211452484,0.012,0.00848528137423857,-41681.706430898
EUR_Swap,5.0,EUR_Swap_5Y,-15859.203882505415,0.0,0.0,0.0,-13766.67003689846,-13766.670036897063,1.152,10000,-158592038.82505414,0.011,0.007778174593052022,-1233556.567049356
EUR_Swap,10.0,EUR_Swap_10Y,7.853989385604858,0.0,0.0,0.0,6.817699120379984,6.817699119448662,1.152,10000,78539.89385604858,0.011,0.007778174593052022,610.8970069321197
EUR_Swap,15.0,EUR_Swap_15Y,-2.0488533096313475,0.0,0.0,0.0,-1.778518500737846,-1.7785184979438782,1.152,10000,-20488.533096313477,0.011,0.007778174593052022,-159.36338757865096
EUR_Swap,20.0,EUR_Swap_20Y,0.42684514617919916,0.0,0.0,0.0,0.3705252977088094,0.3705253005027771,1.152,10000,4268.451461791991,0.011,0.007778174593052022,33.20076071178623
EUR_Swap,30.0,EUR_Swap_30Y,-0.028456332206726012,0.0,0.0,0.0,-0.0247016786597669,-0.024701677262783,1.152,10000,-284.5633220672601,0.011,0.007778174593052022,-2.2133832018180426
